Location,lat,lng
Drysdale,-38.1667,144.5667
Narrogin,-32.936,117.178
Cockatoo,-37.935,145.492
Victor Harbor,-35.55,138.6167
Moama,-36.0833,144.75
Bungendore,-35.2483,149.4511
Latrobe,-41.2464,146.4246
Beachmere,-27.1294,153.0538
Berri,-34.2833,140.6
Wellington,-32.55,148.9333
Tenterfield,-29.0553,152.0178
Thirlmere,-34.1983,150.5678
Legana,-41.3667,147.05
Faulconbridge,-33.6875,150.5439
The Entrance,-33.3472,151.496
Cobar,-31.4997,145.8319
Wallaroo,-33.9167,137.6167
Moruya,-35.9111,150.0806
Gerringong,-34.7483,150.8344
Sandstone Point,-27.0736,153.1233
Tambourine,-27.8816,153.13
Margate,-43.0294,147.2617
Trafalgar,-38.2,146.15
Somerset,-41.05,145.8333
Marian,-21.1453,148.9431
Weipa,-12.6167,141.8667
Kerang,-35.7167,143.9167
Westbrook,-27.6,151.8333
Smithton,-40.844,145.12
Longford,-41.5958,147.122
Karana Downs,-27.55,152.817
Beechworth,-36.3594,146.6869
Penguin,-41.1167,146.0708
Anna Bay,-32.7817,152.0844
Loxton,-34.4539,140.5669
Pearcedale,-38.203,145.231
Landsborough,-26.8091,152.9655
Laidley,-27.6313,152.3938
Wonga Park,-37.739,145.267
Peregian Beach,-26.481,153.096
Cooroy,-26.4166,152.9119
Bellingen,-30.4483,152.9011
Riddell,-37.4667,144.683
Suffolk Park,-28.6983,153.6178
Buninyong,-37.6503,143.8839
Weston,-32.8103,151.4561
Katanning,-33.6908,117.5553
Bellbrae,-38.3333,144.3
Sawtell,-30.365,153.1011
Silverdale,-33.915,150.6094
Tallebudgera,-28.1489,153.418
Bay View,-33.6592,151.2861
Portarlington,-38.1167,144.65
Nanango,-26.6667,152
Logan Village,-27.7667,153.1
Koo-Wee-Rup,-38.198,145.489
Glass House Mountains,-26.9,152.9167
Sussex Inlet,-35.125,150.5436
Proserpine,-20.4017,148.5814
Merimbula,-36.8983,149.9011
Scarness,-25.2833,152.85
Port Douglas,-16.4834,145.4652
Gosford,-33.4233,151.3414
Bridgewater,-35.0164,138.768
Lake Cathie,-31.5483,152.8511
Condobolin,-33.0886,147.1494
Paynesville,-37.9167,147.7167
Woodford,-26.9408,152.7669
Maddingley,-37.6864,144.4336
Hurstbridge,-37.6389,145.195
Quirindi,-31.5081,150.68
Maleny,-26.758,152.8513
Calliope,-24.0061,151.1988
North Beach,-31.861,115.758
Walkerston,-21.1608,149.0591
Blayney,-33.5333,149.25
Camperdown,-38.2333,143.15
Aldgate,-35.0153,138.736
Port Fairy,-38.384,142.235
Tyabb,-38.259,145.189
Lowood,-27.4667,152.5833
Charleville,-26.4016,146.2383
Derby,-17.3056,123.6339
Mooloolah,-26.7625,152.9633
Pittsworth,-27.7167,151.6333
Vincentia,-35.0758,150.6742
Coonabarabran,-31.265,149.2678
Euroa,-36.75,145.567
Oberon,-33.7167,149.8667
Woombye,-26.6667,152.967
Nhulunbuy,-12.1825,136.7819
Camden,-34.0544,150.6958
Murrumbateman,-34.9625,149.0261
Fernvale,-27.45,152.65
East Hills,-33.9567,150.9844
Bohle Plains,-19.3136,146.6919
Junortoun,-36.7667,144.35
Myrtleford,-36.55,146.717
Crib Point,-38.363,145.202
Marcoola,-26.5833,153.083
Mullumbimby,-28.55,153.5
Creswick,-37.4333,143.9
Clare,-33.8333,138.6
Tura Beach,-36.8483,149.9261
Eden,-37.065,149.9011
West Wyalong,-33.9167,147.2167
Gilgandra,-31.7,148.6667
Rochester,-36.3667,144.7
McLaren Vale,-35.2198,138.5411
Miners Rest,-37.486,143.757
Robinvale,-34.5833,142.7667
Wilton,-34.24,150.7011
Riverview,-27.6,152.85
Bogangar,-28.3317,153.5594
Shoalhaven Heads,-34.85,150.7417
Saint George,-28.0363,148.5797
Little Hampton,-35.05,138.85
Clermont,-22.823,147.6383
Home Hill,-19.6611,147.4139
Central Coast,-33.42,151.3
Kuranda,-16.8197,145.6369
Wilberforce,-33.5594,150.841
Tom Price,-22.6939,117.795
Urunga,-30.5,153.0167
Dysart,-22.5855,148.3508
Two Rocks,-31.495,115.588
Ballan,-37.602,144.229
Gloucester,-32.0094,151.9603
Bonny Hills,-31.5817,152.8344
Longreach,-23.4422,144.2491
Stirling,-35.0022,138.706
Perth,-41.5731,147.1714
Bordertown,-36.3118,140.7702
Lewiston,-34.6044,138.5914
Waroona,-32.8667,115.9167
Leschenault,-33.245,115.735
Terranora,-28.2456,153.5025
Kapunda,-34.3389,138.9167
Woori Yallock,-37.778,145.528
Saint Georges Basin,-35.13,150.6269
Pomona,-26.3625,152.8564
Sorell,-42.7831,147.5625
Tea Gardens,-32.6669,152.1594
Culburra,-34.9347,150.7539
Yarra Glen,-37.6489,145.3719
Beaconsfield Upper,-37.996,145.415
Morisset,-33.115,151.5011
